X,Y
34.747,127.74
34.746,127.74
34.746,127.741
34.747,127.741
34.747,127.742
34.745,127.74
34.746,127.742
34.753,127.736
34.745,127.741
34.745,127.742
34.769,127.708
34.753,127.738
34.769,127.707
34.769,127.709
34.768,127.708
34.768,127.707
34.767,127.707
34.767,127.708
34.766,127.707
34.773,127.702
34.772,127.702
34.772,127.701
34.745,127.726
34.745,127.727
34.746,127.727
34.745,127.728
34.746,127.726
34.747,127.726
34.749,127.726
34.747,127.728
34.748,127.727
34.747,127.727
34.736,127.725
34.736,127.726
34.737,127.725
34.737,127.724
34.736,127.724
34.736,127.723
34.735,127.726
34.74,127.739
34.739,127.739
34.74,127.74
34.739,127.74
34.739,127.741
34.708,127.708
34.707,127.708
34.707,127.709
34.707,127.707
34.707,127.706
34.708,127.707
34.706,127.711
34.708,127.706
34.72,127.712
34.724,127.712
34.725,127.712
34.724,127.71
34.728,127.697
34.721,127.711
34.751,127.729
34.751,127.73
34.751,127.728
34.753,127.729
34.753,127.73
34.754,127.731
34.754,127.732
34.755,127.731
34.754,127.733
34.754,127.729
34.754,127.73
34.755,127.73
34.755,127.729
34.747,127.743
34.752,127.738
34.746,127.743
34.748,127.742
34.748,127.743
34.747,127.744
34.748,127.744
34.773,127.703
34.772,127.704
34.771,127.704
34.772,127.705
34.771,127.705
34.771,127.703
34.772,127.703
34.777,127.703
34.776,127.703
34.776,127.704
34.775,127.704
34.746,127.728
34.749,127.745
34.75,127.745
34.742,127.738
34.743,127.738
34.743,127.739
34.744,127.738
34.744,127.739
34.734,127.727
34.738,127.725
34.738,127.726
34.738,127.724
34.739,127.726
34.738,127.727
34.739,127.727
34.739,127.738
34.742,127.743
34.742,127.747
34.748,127.74
34.721,127.712
34.724,127.711
34.725,127.711
34.726,127.711
34.722,127.722
34.722,127.723
34.721,127.723
34.72,127.723
34.719,127.723
34.718,127.723
34.72,127.727
34.756,127.729
34.756,127.728
34.756,127.727
34.757,127.727
34.757,127.726
34.756,127.726
34.756,127.725
34.745,127.744
34.745,127.743
34.744,127.744
34.744,127.745
34.745,127.745
34.745,127.746
34.744,127.746
34.75,127.74
34.775,127.703
34.774,127.703
34.77,127.699
34.731,127.732
34.73,127.732
34.729,127.732
34.729,127.731
34.73,127.731
34.731,127.73
34.731,127.728
34.732,127.728
34.743,127.74
34.744,127.74
34.745,127.739
34.74,127.727
34.739,127.728
34.738,127.728
34.747,127.739
34.748,127.739
34.738,127.742
34.738,127.743
34.74,127.744
34.74,127.743
34.739,127.744
34.739,127.742
34.718,127.725
34.718,127.724
34.718,127.726
34.719,127.726
34.719,127.724
34.72,127.725
34.72,127.726
34.75,127.741
34.749,127.741
34.749,127.742
34.749,127.743
34.732,127.727
34.731,127.727
34.731,127.725
34.73,127.725
34.732,127.726
34.733,127.726
34.733,127.727
34.731,127.724
34.732,127.724
34.745,127.738
34.746,127.738
34.746,127.739
34.737,127.728
34.739,127.729
34.738,127.729
34.737,127.729
34.74,127.729
34.74,127.728
34.739,127.743
34.74,127.742
34.718,127.722
34.718,127.727
34.717,127.728
34.717,127.727
34.711,127.725
34.712,127.725
34.712,127.724
34.713,127.724
34.716,127.723
34.717,127.723
34.745,127.729
34.744,127.729
34.746,127.744
34.747,127.745
34.746,127.745
34.748,127.745
34.747,127.746
34.748,127.746
34.732,127.723
34.731,127.723
34.732,127.721
34.733,127.721
34.733,127.72
34.734,127.72
34.734,127.721
34.734,127.722
34.733,127.722
34.733,127.725
34.738,127.73
34.737,127.731
34.737,127.732
34.741,127.742
34.741,127.741
34.74,127.741
34.741,127.74
34.718,127.721
34.742,127.733
34.742,127.732
34.742,127.734
34.742,127.731
34.743,127.733
34.743,127.732
34.741,127.732
34.743,127.729
34.743,127.728
34.742,127.729
34.742,127.728
34.745,127.747
34.745,127.748
34.744,127.747
34.744,127.748
34.745,127.749
34.746,127.747
34.746,127.748
34.747,127.747
34.744,127.749
34.744,127.75
34.742,127.751
34.734,127.725
34.733,127.724
34.734,127.724
34.735,127.725
34.735,127.723
34.734,127.723
34.735,127.722
34.735,127.721
34.736,127.722
34.736,127.75
34.736,127.751
34.737,127.749
34.737,127.748
34.738,127.746
34.738,127.749
34.738,127.748
34.736,127.732
34.736,127.733
34.737,127.733
34.735,127.732
34.734,127.732
34.733,127.731
34.732,127.732
34.731,127.733
34.733,127.732
34.741,127.739
34.741,127.738
34.744,127.735
34.743,127.735
34.743,127.734
34.744,127.736
34.744,127.734
34.745,127.733
34.744,127.733
34.741,127.731
34.741,127.73
34.742,127.73
34.741,127.729
34.743,127.73
34.744,127.73
34.741,127.728
34.742,127.727
34.742,127.726
34.741,127.726
34.74,127.725
34.741,127.725
34.742,127.741
34.741,127.755
34.741,127.752
34.741,127.749
34.74,127.752
34.74,127.753
34.749,127.729
34.739,127.753
34.739,127.752
34.772,127.649
34.743,127.747
34.734,127.726
34.737,127.722
34.737,127.723
34.766,127.71
34.737,127.726
34.737,127.727
34.736,127.727
34.738,127.747
34.739,127.746
34.74,127.746
34.739,127.747
34.74,127.747
34.741,127.746
34.734,127.731
34.735,127.731
34.736,127.731
34.739,127.73
34.744,127.732
34.745,127.732
34.744,127.731
34.745,127.731
34.745,127.73
34.75,127.727
34.749,127.727
34.748,127.728
34.746,127.73
34.747,127.73
34.746,127.729
34.748,127.729
34.741,127.727
34.74,127.726
34.743,127.748
34.743,127.749
34.743,127.75
34.742,127.749
34.742,127.75
34.741,127.751
34.741,127.75
34.757,127.714
34.757,127.715
34.757,127.716
34.757,127.717
34.756,127.718
34.756,127.717
34.757,127.713
34.756,127.713
34.756,127.714
34.755,127.716
34.755,127.717
34.741,127.747
34.74,127.748
34.74,127.749
34.741,127.748
34.736,127.72
34.736,127.719
34.737,127.72
34.736,127.721
34.737,127.721
34.738,127.72
34.738,127.721
34.743,127.731
34.747,127.729
34.746,127.731
34.741,127.736
34.741,127.735
34.74,127.736
34.74,127.735
34.741,127.734
34.742,127.736
34.742,127.735
34.742,127.725
34.681,127.558
34.739,127.725
34.74,127.724
34.742,127.748
34.749,127.744
34.756,127.719
34.757,127.718
34.758,127.715
34.758,127.714
34.758,127.713
34.758,127.712
34.746,127.715
34.746,127.716
34.745,127.717
34.762,127.719
34.762,127.72
34.741,127.745
34.742,127.745
34.741,127.744
34.742,127.744
34.741,127.743
34.738,127.722
34.739,127.723
34.739,127.721
34.739,127.72
34.739,127.719
34.738,127.718
34.738,127.717
34.739,127.716
34.739,127.715
34.71,127.723
34.71,127.722
34.709,127.722
34.709,127.723
34.74,127.734
34.741,127.733
34.756,127.733
34.742,127.724
34.743,127.725
34.741,127.724
34.739,127.724
34.753,127.737
34.743,127.737
34.76,127.719
34.76,127.718
34.759,127.717
34.763,127.719
34.759,127.716
34.76,127.711
34.761,127.71
34.761,127.709
34.762,127.709
34.762,127.708
34.762,127.71
34.761,127.711
34.761,127.733
34.743,127.743
34.743,127.744
34.739,127.714
34.738,127.715
34.738,127.714
34.738,127.719
34.737,127.719
34.739,127.713
34.74,127.713
34.74,127.712
34.71,127.724
34.708,127.723
34.707,127.724
34.709,127.724
34.709,127.72
34.711,127.724
34.71,127.725
34.709,127.725
34.708,127.724
34.678,127.56
34.755,127.733
34.754,127.734
34.755,127.734
34.756,127.734
34.756,127.735
34.756,127.736
34.755,127.736
34.742,127.737
34.743,127.736
34.773,127.712
34.773,127.711
34.745,127.718
34.745,127.719
34.745,127.72
34.745,127.721
34.744,127.721
34.745,127.722
34.745,127.723
34.743,127.722
34.744,127.722
34.743,127.723
34.743,127.746
34.744,127.742
34.744,127.743
34.74,127.714
34.742,127.74
34.743,127.741
34.744,127.741
34.709,127.719
34.708,127.72
34.709,127.721
34.71,127.721
34.71,127.72
34.71,127.719
34.742,127.742
34.771,127.649
34.726,127.698
34.755,127.735
34.754,127.735
34.754,127.736
34.754,127.737
34.738,127.739
34.738,127.74
34.741,127.722
34.741,127.723
34.741,127.721
34.74,127.719
34.741,127.72
34.749,127.74
34.772,127.711
34.772,127.71
34.771,127.711
34.771,127.71
