X,Y
37.503098,126.953781
37.503166,126.954067
37.502794,126.953575
37.50301,126.953532
37.502943,126.952933
37.503064,126.953187
37.499928,126.931364
37.499687,126.930943
37.502902,126.952342
37.50287,126.951932
37.502532,126.951862
37.50047,126.931795
37.502622,126.952159
37.502549,126.95364
37.502568,126.952478
37.50265,126.952591
37.502659,126.952928
37.502739,126.952881
37.502594,126.953233
37.502375,126.95303
37.50219,126.953103
37.502202,126.953389
37.502098,126.95314
37.502062,126.953361
37.502066,126.952838
37.49873,126.928759
37.500146,126.931284
37.501681,126.952171
37.502334,126.952
37.502206,126.951766
37.501989,126.951266
37.501924,126.951387
37.498312,126.959298
37.503866,126.934054
37.503445,126.934023
37.503632,126.934215
37.503233,126.934394
37.503389,126.934436
37.503488,126.934566
37.503504,126.935137
37.503578,126.934948
37.503678,126.935315
37.503687,126.935505
37.503856,126.935488
37.503919,126.935193
37.504054,126.935021
37.504148,126.934899
37.503812,126.934614
37.503742,126.934467
37.503785,126.934334
37.504303,126.934656
37.504028,126.934419
37.504572,126.934961
37.504639,126.934902
37.504862,126.934924
37.504747,126.935241
37.504457,126.935496
37.50438,126.935284
37.504184,126.935188
37.503788,126.935799
37.504074,126.935518
37.50418,126.935897
37.504106,126.935906
37.503928,126.936194
37.503824,126.936155
37.503933,126.936474
37.503818,126.936799
37.504016,126.936717
37.504585,126.944337
37.504457,126.944303
37.50418,126.944227
37.504126,126.944037
37.504191,126.943848
37.504249,126.94363
37.50429,126.943435
37.504362,126.943243
37.504461,126.942923
37.504533,126.942686
37.504596,126.942476
37.504645,126.942292
37.504719,126.942086
37.503456,126.943405
37.506084,126.945305
37.505926,126.945026
37.500848,126.946902
37.501471,126.945847
37.500726,126.939148
37.501868,126.938455
37.501803,126.938641
37.502412,126.939183
37.503042,126.937038
37.503096,126.937377
37.502934,126.937681
37.505195,126.942366
37.505646,126.939543
37.505788,126.93958
37.505538,126.939476
37.505489,126.939529
37.502123,126.948608
37.505048,126.940429
37.505075,126.940641
37.505061,126.940166
37.505766,126.935855
37.495955,126.933824
37.495764,126.933609
37.495689,126.933499
37.495561,126.933813
37.495554,126.933524
37.495808,126.933303
37.495995,126.932964
37.49636,126.933068
37.496513,126.933034
37.496576,126.932633
37.496637,126.932361
37.49667,126.93209
37.496529,126.93218
37.496387,126.93224
37.496216,126.932599
37.496015,126.932517
37.496213,126.932263
37.495997,126.932048
37.4959,126.931791
37.495702,126.932062
37.495765,126.932207
37.495864,126.932365
37.495594,126.932037
37.495594,126.932495
37.495202,126.93225
37.495103,126.932317
37.494862,126.932626
37.495976,126.931613
37.496042,126.931615
37.496218,126.93194
37.496324,126.932138
37.496596,126.931864
37.4964,126.931694
37.496231,126.931429
37.496156,126.931296
37.499888,126.942149
37.499913,126.942477
37.499694,126.942556
37.499604,126.942884
37.499386,126.943032
37.499228,126.943278
37.499089,126.943447
37.498909,126.943716
