X,Y
37.48016,126.892055
37.480099,126.892227
37.480265,126.892161
37.480287,126.892
37.480398,126.89215
37.480339,126.89235
37.480358,126.891924
37.480394,126.891648
37.480881,126.892013
37.480787,126.891914
37.480618,126.891941
37.483744,126.890033
37.483376,126.889884
37.483442,126.890305
37.483312,126.890124
37.483074,126.889989
37.482911,126.889898
37.48285,126.890107
37.482976,126.889867
37.482879,126.889668
37.482758,126.889486
37.48276,126.889885
37.483537,126.885018
37.485106,126.885155
37.485412,126.885133
37.485309,126.88547
37.485552,126.884734
37.484884,126.884268
37.485652,126.884304
37.480591,126.890494
37.480429,126.890255
37.485938,126.881459
37.486078,126.881328
37.486204,126.881287
37.486016,126.881686
37.486154,126.881442
37.486291,126.881391
37.486377,126.881409
37.486338,126.881142
37.48614,126.881852
37.486158,126.881965
37.486032,126.88221
37.486252,126.882214
37.486294,126.882063
37.480288,126.890097
37.480072,126.89026
37.480053,126.88974
37.480565,126.88935
37.480745,126.889246
37.480835,126.889205
37.480753,126.888782
37.480348,126.888867
37.480456,126.888713
37.480244,126.889002
37.480165,126.889274
37.480143,126.88955
37.480885,126.889359
37.486501,126.882232
37.486399,126.881793
37.486518,126.881711
37.486149,126.884109
37.486208,126.884471
37.486391,126.884231
37.486441,126.884118
37.486027,126.884421
37.485952,126.884385
37.485721,126.884521
37.485674,126.884838
37.485829,126.884842
37.486282,126.884585
37.485822,126.884958
37.479084,126.893465
37.479237,126.893686
37.479363,126.893906
37.47944,126.894149
37.479287,126.894234
37.479517,126.894262
37.47947,126.894491
37.479742,126.894623
37.479563,126.893648
37.479401,126.893648
37.479183,126.893383
37.483479,126.888233
37.48365,126.889332
37.483808,126.88902
37.484013,126.888866
37.484183,126.888829
37.484428,126.888634
37.484068,126.889639
37.483909,126.889639
37.484245,126.885889
37.484143,126.885455
37.483862,126.885515
37.483661,126.885551
37.479601,126.891685
37.479464,126.891491
37.47955,126.891613
37.479633,126.891545
37.479543,126.891305
37.479593,126.890867
37.479672,126.890966
37.479976,126.891115
37.479899,126.890979
37.479741,126.890875
37.479651,126.890763
37.479571,126.890663
37.480167,126.891265
37.479821,126.891472
37.4799,126.891664
37.483111,126.887388
37.483086,126.887533
37.483136,126.888374
37.482723,126.888528
37.4826,126.888411
37.482541,126.88826
37.482246,126.887824
37.484007,126.889847
37.483935,126.889933
37.483954,126.890508
37.483723,126.890426
37.483791,126.890612
37.483747,126.885813
37.484811,126.884708
37.48348,126.885588
37.483358,126.885882
37.483447,126.885108
37.483674,126.884656
37.483944,126.884239
37.484123,126.884161
37.484398,126.884062
37.484088,126.884311
37.484106,126.884411
37.484477,126.883999
37.484553,126.88441
37.482805,126.887411
37.482296,126.88682
37.483934,126.884678
37.482352,126.888873
37.480691,126.88959
37.481987,126.88815
37.481682,126.889896
37.480234,126.890373
37.479219,126.894115
37.483468,126.891282
37.483569,126.89134
37.480128,126.892679
37.481696,126.889091
37.481732,126.889344
37.484406,126.885265
37.485222,126.882989
37.485408,126.884983
37.480185,126.893641
37.483029,126.888817
37.482576,126.889958
37.483118,126.89064
37.486468,126.881463
37.483182,126.886171
37.483269,126.891015
37.480916,126.887767
37.484636,126.884243
37.480286,126.891607
