X,Y
37.60265,126.96045
37.60264,126.96064
37.60489,126.96041
37.6051,126.96006
37.60545,126.96
37.60518,126.96018
37.60586,126.96011
37.60581,126.96003
37.60574,126.96013
37.60536,126.95989
37.60542,126.95979
37.60468,126.96049
37.60502,126.95987
37.60451,126.96035
37.60466,126.96027
37.60445,126.96014
37.60415,126.96026
37.60409,126.96045
37.60426,126.96084
37.60407,126.96066
37.60454,126.96056
37.60409,126.96089
37.60367,126.96129
37.60386,126.9608
37.60248,126.96099
37.60231,126.96072
37.60231,126.96043
37.60233,126.96003
37.6023,126.9592
37.60119,126.9592
37.60278,126.96011
37.60006,126.95772
37.60136,126.95916
37.60212,126.95712
37.60247,126.95708
37.60158,126.95737
37.60287,126.95716
37.60162,126.9578
37.60237,126.95794
37.6018,126.958
37.60268,126.95786
37.6011,126.9566
37.60287,126.9576
37.60963,126.96867
37.60921,126.96808
37.61039,126.96772
37.60937,126.96862
37.61006,126.96781
37.6106,126.96809
37.611,126.96781
37.61116,126.96764
37.61116,126.96848
37.61154,126.9683
37.61175,126.96804
37.61223,126.96811
37.61217,126.96845
37.61235,126.96843
37.61179,126.96851
37.61283,126.96856
37.61264,126.96861
37.61217,126.96866
37.61198,126.96848
37.61142,126.96887
37.61122,126.9689
37.6111,126.96914
37.61093,126.96856
37.61021,126.96915
37.61043,126.96849
37.61069,126.96968
37.60955,126.96924
37.60987,126.9704
37.60944,126.97044
37.60998,126.97028
37.61112,126.96936
37.61159,126.96968
37.61191,126.96952
37.61246,126.97034
37.61246,126.96957
37.61325,126.97115
37.61347,126.97178
37.61401,126.97158
37.58261,126.96484
37.5822,126.96566
37.58203,126.96605
37.58169,126.96658
37.58163,126.96678
37.58178,126.96713
37.58221,126.967
37.58222,126.96667
37.58232,126.96645
37.58248,126.96645
37.58258,126.96629
37.58271,126.96606
37.58266,126.96617
37.58301,126.9659
37.58293,126.96589
37.58307,126.96574
37.58318,126.96558
37.58331,126.96532
37.58314,126.96583
37.58306,126.96602
37.583,126.9663
37.58272,126.96621
37.58313,126.96619
37.58293,126.96656
37.58284,126.96651
37.58302,126.96678
37.58253,126.96687
37.5844,126.9668
37.58497,126.96756
37.58373,126.96598
37.58376,126.96657
37.58413,126.96638
37.58449,126.96613
37.58362,126.96653
37.58359,126.96696
37.58456,126.96963
37.58437,126.96976
