X,Y
37.59379,127.09227
37.59316,127.09244
37.59387,127.09267
37.5936,127.09204
37.5933,127.09227
37.59375,127.09211
37.59303,127.09233
37.59345,127.09287
37.59306,127.09272
37.59286,127.09233
37.59318,127.09266
37.59348,127.09303
37.59257,127.09275
37.59256,127.09232
37.59242,127.09207
37.59253,127.09205
37.59233,127.0928
37.59214,127.0921
37.59194,127.09213
37.59187,127.09168
37.59208,127.09176
37.5924,127.09171
37.59231,127.09105
37.59242,127.09035
37.59238,127.09024
37.59269,127.09001
37.59275,127.09051
37.59233,127.09118
37.59225,127.09119
37.59211,127.09094
37.59186,127.09074
37.592,127.09093
37.59202,127.09073
37.59194,127.0902
37.59232,127.09016
37.59213,127.09055
37.59216,127.09026
37.59224,127.08985
37.59233,127.08983
37.59261,127.08955
37.5928,127.08977
37.59285,127.09016
37.59294,127.09075
37.59274,127.09065
37.59289,127.091
37.59291,127.09112
37.59262,127.09112
37.59281,127.0911
37.59261,127.09098
37.59279,127.09156
37.59267,127.09157
37.59304,127.09153
37.59323,127.09187
37.5935,127.09165
37.59291,127.09191
37.59345,127.0914
37.59342,127.09108
37.59239,127.09158
37.59339,127.09047
37.59319,127.08997
37.59285,127.08884
37.59285,127.08849
37.59275,127.08798
37.59274,127.08852
37.59245,127.08827
37.59219,127.08817
37.59228,127.08833
37.59234,127.08846
37.59228,127.08783
37.59289,127.08812
37.59254,127.08792
37.59193,127.08747
37.59385,127.09256
37.59209,127.08903
37.59234,127.08932
37.59209,127.08919
37.59165,127.08808
37.59195,127.08809
37.59165,127.08722
37.59171,127.08706
37.59181,127.08843
37.59186,127.08697
37.59091,127.08861
37.59114,127.08855
37.59075,127.08881
37.59084,127.08865
37.59072,127.08816
37.59075,127.08825
37.59056,127.08823
37.59063,127.08794
37.59057,127.08784
37.5903,127.08784
37.59044,127.08816
37.59038,127.08802
37.5905,127.08845
37.59057,127.08869
37.59046,127.08831
37.59048,127.08871
37.59066,127.08892
37.59087,127.08941
37.59063,127.08933
37.59072,127.08972
37.58883,127.10163
37.59038,127.0897
37.59054,127.08965
37.59057,127.08989
37.5898,127.08815
37.59038,127.08995
37.5902,127.08932
37.59003,127.08922
37.59005,127.08893
37.59017,127.08874
37.58988,127.08858
37.58996,127.08855
37.59003,127.08807
37.59015,127.08804
37.59022,127.08827
37.59011,127.08845
37.59022,127.08857
37.59032,127.08867
37.59034,127.08912
