x,y
37.53834,126.94629
37.55443,126.94776
37.53926,126.94783
37.55062,126.9349
37.54707,126.92084
37.55546,126.93109
37.55181,126.93338
37.55022,126.91948
37.55652,126.90821
37.56215,126.92637
37.5612,126.90162
37.54592,126.91523
37.54708,126.91712
37.56419,126.92664
37.56393,126.91576
37.55799,126.9123
37.56621,126.90779
37.56091,126.91046
37.55218,126.92298
37.54271,126.94671
37.54036,126.9451
37.5519,126.91544
37.55459,126.90805
37.55716,126.92598
37.55245,126.92988
37.55299,126.93033
37.55205,126.9303
37.55256,126.91142
37.55366,126.9103
37.56476,126.92599
37.56416,126.92527
37.56505,126.92119
37.56349,126.92202
37.56374,126.92562
37.56535,126.92051
37.56274,126.92261
37.56335,126.92384
37.5626,126.92439
37.56413,126.92327
37.55951,126.91872
37.56227,126.9155
37.56029,126.90122
37.53577,126.94368
37.53682,126.95198
37.56575,126.90675
37.56725,126.90636
37.55705,126.96202
37.56904,126.90733
37.5506,126.96232
37.55545,126.94257
37.5503,126.95787
37.55063,126.95636
37.5518,126.95816
37.55412,126.96056
37.55002,126.95883
37.55546,126.96178
37.54951,126.95978
37.55596,126.96235
37.5487,126.95287
37.55582,126.95658
37.54456,126.95197
37.54037,126.95358
37.53761,126.95021
37.55628,126.9453
37.5533,126.93473
37.54587,126.941
37.55513,126.94258
37.5491,126.94404
37.54765,126.94939
37.54861,126.94457
37.55405,126.94778
37.54999,126.94574
37.54782,126.94481
37.5465,126.93286
37.54454,126.93817
37.55176,126.9343
37.54511,126.93583
37.5479,126.93944
37.54834,126.91856
37.54992,126.91946
37.55028,126.90741
37.55735,126.89861
37.54684,126.91971
37.55343,126.90129
37.56165,126.92544
37.58646,126.88094
37.56174,126.90768
37.54879,126.93553
37.56853,126.90868
37.55924,126.90086
37.56148,126.91913
37.54866,126.93252
37.55243,126.96072
37.54911,126.95617
37.55308,126.96072
37.54861,126.95848
37.54843,126.95747
37.55018,126.9623
37.55427,126.95927
37.55554,126.96132
37.55625,126.95221
37.55326,126.95586
37.53759,126.94684
37.55655,126.96275
37.54479,126.94453
37.54142,126.95275
37.54088,126.9527
37.5601,126.92345
37.55144,126.95673
37.55478,126.94276
37.53974,126.94313
37.54798,126.94631
37.55422,126.93753
37.54653,126.94188
37.55339,126.93793
37.55297,126.9469
37.55257,126.9361
37.54659,126.94286
37.5451,126.94513
37.54494,126.93833
37.55367,126.93237
37.54434,126.93406
37.54602,126.93819
37.548,126.93773
37.55281,126.92269
37.55549,126.92864
37.54865,126.92871
37.55622,126.92868
37.55236,126.90913
37.55363,126.90188
37.56175,126.92613
37.56271,126.92714
37.55605,126.89682
37.54385,126.94424
37.55455,126.90376
37.55997,126.91085
37.56536,126.9168
37.56019,126.91507
37.57285,126.90339
37.56574,126.90641
37.53813,126.94829
37.56846,126.91044
37.54445,126.95527
37.56811,126.91488
37.57064,126.90665
37.5755,126.89823
37.55372,126.93292
37.5489,126.95993
37.55017,126.92915
37.54525,126.93106
37.57548,126.89656
37.54891,126.96244
37.5381,126.94784
37.54187,126.95197
37.55693,126.95557
37.55234,126.94501
37.55534,126.94095
37.54209,126.93733
37.55506,126.94764
37.54987,126.9443
37.55529,126.94773
37.54881,126.92407
37.54555,126.93271
37.54733,126.92021
37.55294,126.91601
37.5529,126.91248
37.55419,126.92544
37.55549,126.92927
37.5505,126.90672
37.5474,126.915
37.54896,126.90714
37.55685,126.90709
37.5541,126.9264
37.5455,126.91406
37.55224,126.90204
37.55681,126.8988
37.56021,126.90521
37.55613,126.95139
37.56075,126.92076
37.56609,126.91702
37.56341,126.91839
37.56453,126.91738
37.5581,126.90081
37.56288,126.90455
37.55989,126.9114
37.56551,126.91507
37.56928,126.90694
37.57785,126.89675
37.56826,126.91291
37.56696,126.9092
37.54113,126.95438
37.57773,126.89336
37.5804,126.88114
37.58118,126.88394
37.58365,126.88446
37.54731,126.91254
37.54491,126.93649
37.5703,126.90343
37.57437,126.8904
37.55818,126.90954
37.56844,126.90533
37.55609,126.91606
37.54818,126.92779
37.55884,126.89807
37.55288,126.9045
37.55958,126.90155
37.53799,126.94549
37.54969,126.94891
37.5501,126.92129
37.55246,126.92299
37.55527,126.92379
37.5547,126.92312
37.55625,126.92626
37.5522,126.91983
37.56463,126.92242
37.55632,126.95963
37.55589,126.94926
37.55422,126.96127
37.54816,126.95694
37.54841,126.95881
37.55159,126.9578
37.54631,126.95925
37.55045,126.96146
37.55532,126.95103
37.5478,126.95004
37.54976,126.95217
37.53727,126.94466
37.53831,126.94847
37.53631,126.94475
37.53604,126.94539
37.53749,126.95065
37.54203,126.93836
37.54012,126.94427
37.53947,126.94131
37.5473,126.94179
37.54662,126.94355
37.54054,126.94298
37.54712,126.94286
37.55404,126.93629
37.54795,126.94111
37.55404,126.94431
37.54868,126.94838
37.54596,126.94542
37.54655,126.94542
37.54921,126.94847
37.54205,126.93471
37.5465,126.93898
37.54924,126.93767
37.5495,126.94822
37.54763,126.94556
37.54668,126.9382
37.54579,126.92429
37.54558,126.92182
37.55067,126.92414
37.54929,126.93051
37.549,126.92208
37.54536,126.92686
37.55525,126.92398
37.5551,126.93422
37.5574,126.91342
37.55799,126.9238
37.55195,126.90802
37.55069,126.9233
37.55354,126.92171
