X,Y
37.55123,126.90949
37.55007,126.96125
37.55065,126.96168
37.55031,126.9615
37.55036,126.96223
37.55021,126.96239
37.55054,126.96291
37.55105,126.96263
37.55066,126.96304
37.5504,126.96258
37.55109,126.96235
37.55052,126.96302
37.551,126.96232
37.55003,126.96146
37.54965,126.96164
37.55032,126.96183
37.54975,126.96154
37.54969,126.96152
37.55095,126.96228
37.55042,126.96199
37.54999,126.96209
37.5498,126.96113
37.55056,126.96269
37.54938,126.95216
37.54876,126.95317
37.54889,126.96141
37.55045,126.96146
37.54992,126.96126
37.54792,126.961
37.54813,126.96083
37.54777,126.96152
37.54901,126.96105
37.54921,126.96068
37.5489,126.96216
37.54621,126.95911
37.5489,126.9626
37.54908,126.962
37.54794,126.96089
37.5479,126.96151
37.54702,126.95878
37.5464,126.95943
37.54639,126.95929
37.54651,126.9593
37.54664,126.95952
37.54653,126.95986
37.54665,126.95985
37.54664,126.95934
37.54843,126.9605
37.54699,126.95935
37.54901,126.96007
37.54875,126.96029
37.54885,126.96016
37.54907,126.96016
37.54611,126.95949
37.54853,126.96039
37.54862,126.96057
37.54823,126.96049
37.54812,126.96053
37.54849,126.9603
37.54813,126.96007
37.54849,126.95969
37.54876,126.95985
37.54855,126.95986
37.54808,126.96016
37.54917,126.96018
37.54847,126.95986
37.54815,126.95954
37.54807,126.95946
37.54803,126.95924
37.54788,126.95929
37.54768,126.95888
37.54858,126.96049
37.54772,126.95879
37.54762,126.95877
37.54782,126.9595
37.54784,126.95917
37.54741,126.95876
37.54738,126.95904
37.54894,126.96046
37.54831,126.95986
37.54921,126.95973
37.54947,126.96186
37.54946,126.96232
37.5489,126.96224
37.54946,126.96271
37.54951,126.96234
37.54937,126.963
37.54899,126.96285
37.54921,126.96299
37.54893,126.96321
37.5489,126.96308
37.54959,126.9633
37.54901,126.96318
37.54928,126.96328
37.54957,126.96194
37.54968,126.96315
37.5497,126.96329
37.55,126.96331
37.54978,126.96316
37.54958,126.96298
37.5485,126.96146
37.5499,126.96307
37.54985,126.96302
37.54997,126.96287
37.54997,126.96303
37.55021,126.96297
37.55022,126.96329
37.5503,126.96313
37.55035,126.9632
37.55017,126.96267
37.54966,126.96281
37.54994,126.96243
37.54969,126.96239
37.54961,126.96369
37.55006,126.96268
37.54982,126.96281
37.54867,126.96165
37.54872,126.96206
37.5487,126.96187
37.5489,126.9627
37.54992,126.96251
37.55001,126.96103
37.55031,126.96132
37.54869,126.96297
37.5489,126.96288
37.54825,126.96122
37.55012,126.96117
37.54814,126.9611
37.54797,126.96118
37.54846,126.96108
37.54777,126.96117
37.54778,126.96129
37.54874,126.96146
37.54908,126.96132
37.54964,126.96094
37.54921,126.96086
37.54891,126.96105
37.54939,126.9607
37.54922,126.96157
37.54947,126.96152
37.54952,126.96134
37.54945,126.96104
37.54973,126.96058
37.54987,126.96078
37.54981,126.96095
37.54934,126.96091
37.5488,126.96067
37.54892,126.96127
37.54893,126.96092
37.5493,126.96059
37.54736,126.95951
37.5475,126.96012
37.54779,126.96139
37.54684,126.95985
37.54654,126.96009
37.54614,126.95964
37.54719,126.9602
37.54633,126.95952
37.54714,126.96074
37.55243,126.96072
37.55409,126.96089
37.55371,126.96099
37.55309,126.96126
37.55334,126.96113
37.55318,126.9612
37.55329,126.96102
37.5539,126.96093
37.55256,126.96147
37.55243,126.96162
37.55425,126.96085
37.55388,126.96082
