X,Y
37.61922,127.05624
37.61945,127.05601
37.61967,127.05567
37.62047,127.05494
37.61871,127.05738
37.61886,127.05742
37.61911,127.05747
37.61921,127.05744
37.61877,127.05708
37.66292,127.07207
37.663,127.07214
37.66303,127.0719
37.66539,127.07248
37.66269,127.07153
37.66286,127.07112
37.66266,127.07137
37.66248,127.07171
37.66232,127.07096
37.66308,127.06779
37.6617,127.07069
37.66141,127.07114
37.66167,127.07124
37.63691,127.07495
37.63595,127.07383
37.63584,127.07133
37.63947,127.0711
37.63734,127.07323
37.63685,127.07803
37.6364,127.07672
37.6337,127.07365
37.63611,127.07737
37.6456,127.07376
37.636,127.07496
37.63311,127.07404
37.63524,127.07061
37.66434,127.07172
37.66538,127.07077
37.66529,127.07561
37.66063,127.07402
37.66608,127.07075
37.66052,127.07671
37.66063,127.07457
37.66393,127.0714
37.66165,127.07148
37.6618,127.07092
37.66209,127.07107
37.66221,127.07196
37.66228,127.0715
37.66196,127.07163
37.66216,127.0714
37.66182,127.07179
37.66223,127.07217
37.66169,127.07168
37.66157,127.07157
37.6613,127.07138
37.66097,127.07152
37.66163,127.07198
37.66201,127.07227
37.66184,127.07215
37.64084,127.08441
37.66233,127.0726
37.64071,127.08481
37.64076,127.08498
37.64083,127.08524
37.64092,127.08474
37.64078,127.08409
37.64113,127.08398
37.6411,127.08381
37.64167,127.08425
37.6419,127.08401
37.65006,127.08138
37.64132,127.08436
37.64114,127.08537
37.64094,127.08514
37.66288,127.07153
37.66367,127.07133
37.65969,127.07435
37.65961,127.07389
37.65964,127.07416
37.65996,127.07433
37.66033,127.07367
37.66709,127.07083
37.66435,127.07251
37.6606,127.07506
37.66077,127.07452
37.65985,127.0733
37.66455,127.0716
37.65885,127.07338
37.65901,127.07269
37.6583,127.07335
37.65832,127.07274
37.6575,127.07327
37.66128,127.07654
37.65313,127.07339
37.653,127.07298
37.61651,127.06374
37.65328,127.07319
37.61631,127.06403
37.61615,127.06384
37.6164,127.06388
37.61617,127.06414
37.6411,127.0851
37.64132,127.08517
37.64152,127.08481
37.61596,127.06392
37.64184,127.0853
37.64137,127.08542
37.64161,127.08504
37.64096,127.08561
37.64106,127.0873
37.64139,127.08752
37.64118,127.08745
37.64189,127.08681
37.6412,127.087
37.64288,127.08609
37.64156,127.08702
37.64093,127.08676
37.64116,127.08596
37.64102,127.08628
37.61905,127.05686
37.6192,127.05728
37.61919,127.05664
37.61933,127.05682
37.61953,127.05706
37.62023,127.05729
37.62007,127.05821
37.62056,127.05803
37.62108,127.05863
37.62063,127.05774
37.61563,127.06411
37.61556,127.06433
37.61631,127.06422
37.61593,127.06437
37.61545,127.06492
37.61568,127.06485
37.61596,127.06477
37.61625,127.06468
37.6164,127.06463
37.63965,127.05372
37.61629,127.06486
37.61911,127.05694
37.61583,127.06103
37.61533,127.06123
37.61465,127.06179
37.61461,127.062
37.61459,127.06211
37.61457,127.06224
37.61465,127.06227
37.61469,127.06281
37.61489,127.06284
37.62087,127.05764
37.62062,127.05756
37.62123,127.0578
37.62105,127.05737
37.62198,127.05736
37.62182,127.05748
37.62207,127.05743
37.62205,127.05721
37.62227,127.05761
37.62222,127.05679
37.62223,127.05706
37.62255,127.05705
37.62263,127.05644
37.6225,127.05647
37.62242,127.05626
37.64123,127.08552
37.6221,127.0567
37.64142,127.08569
37.64164,127.08567
37.64171,127.08586
37.64147,127.08605
37.64168,127.08632
37.64131,127.08649
37.64152,127.0864
37.6416,127.08637
37.64189,127.0865
37.64202,127.08653
37.64184,127.08609
37.64213,127.08567
37.64217,127.08541
37.6373,127.07167
37.63621,127.07738
37.63654,127.07811
37.64087,127.07018
37.64235,127.07132
37.64155,127.07029
37.63872,127.07048
37.6366,127.07888
37.63649,127.07751
37.65433,127.07359
37.64668,127.07331
37.65353,127.07312
37.65344,127.07237
37.64929,127.08652
37.64225,127.08584
37.6427,127.08595
37.64251,127.08582
37.64231,127.08626
37.64312,127.08593
37.64306,127.0856
37.64272,127.08563
37.64246,127.08559
37.64248,127.08535
37.6427,127.0854
37.64257,127.08534
37.6428,127.08507
37.64284,127.08539
37.643,127.08533
37.643,127.08506
37.64318,127.08482
37.64334,127.08515
37.62209,127.0569
37.62193,127.05698
37.62175,127.05694
37.62172,127.05741
37.62144,127.05712
37.62165,127.05848
37.62174,127.05811
37.62135,127.05779
37.62158,127.05858
37.62102,127.06014
37.62148,127.05857
37.63278,127.057
37.61698,127.0658
37.62317,127.05898
37.63313,127.05694
37.63235,127.04394
37.63257,127.0427
37.62851,127.05591
37.63163,127.04391
37.63236,127.04294
37.63257,127.04377
37.6327,127.04368
37.63242,127.04347
37.63246,127.04294
37.63282,127.04349
37.61503,127.06323
37.61488,127.06305
37.6342,127.04438
37.61503,127.06304
37.61504,127.06274
37.62188,127.05894
37.62189,127.05858
37.62196,127.05846
37.62235,127.05824
37.62277,127.05791
37.62232,127.05795
37.62244,127.05819
37.62255,127.05869
37.62243,127.05838
37.62265,127.05907
37.6222,127.05873
37.6226,127.05927
37.62236,127.05907
37.62283,127.05919
37.64354,127.08528
37.64346,127.085
37.64359,127.0851
37.64362,127.08485
37.64356,127.08476
37.64327,127.08467
37.64321,127.08449
37.64334,127.08426
37.64327,127.08438
37.64215,127.08513
37.6419,127.08508
37.64212,127.08496
37.64199,127.085
37.64192,127.08487
37.64189,127.08457
37.61537,127.06096
37.61453,127.06271
37.61462,127.06281
37.6148,127.06295
37.61453,127.06247
37.668,127.06204
37.61464,127.06336
37.66628,127.05943
37.67163,127.05943
37.66547,127.05796
37.6714,127.05831
37.66296,127.06451
37.66942,127.06112
37.67083,127.06038
37.66864,127.06166
37.67123,127.06095
37.67024,127.05993
37.66964,127.06085
37.64213,127.08405
37.64197,127.08435
37.64226,127.08426
37.64252,127.08512
37.64266,127.0849
37.64224,127.0849
37.64242,127.0847
37.64217,127.08448
37.64249,127.08454
37.64906,127.08105
37.64281,127.08479
37.64284,127.08458
37.64302,127.08375
37.64279,127.08394
37.64273,127.08446
37.64257,127.08415
37.64239,127.084
37.62332,127.05954
37.62352,127.05962
37.62349,127.05975
37.62335,127.05991
37.62475,127.05912
37.62348,127.06002
37.62513,127.05856
37.625,127.05918
37.62518,127.0589
37.62486,127.05936
37.62478,127.05975
37.63664,127.0761
37.62463,127.05982
37.64024,127.0815
37.63774,127.07477
37.63672,127.07424
37.63608,127.0747
37.62427,127.0684
37.63674,127.07372
37.64056,127.0535
