X,Y
37.55951,126.92779
37.57078,126.92748
37.58384,126.91551
37.57534,126.92734
37.5671,126.92743
37.58677,126.92744
37.56868,126.92762
37.56921,126.92764
37.57446,126.92754
37.56134,126.92769
37.56144,126.92767
37.56708,126.92336
37.56752,126.92337
37.57139,126.92325
37.57167,126.92316
37.5709,126.92318
37.5703,126.92315
37.56692,126.92339
37.57168,126.92338
37.57182,126.92346
37.55885,126.92769
37.55978,126.92781
37.5709,126.92333
37.5842,126.92722
37.56062,126.92765
37.57544,126.9277
37.56177,126.92768
37.55996,126.92755
37.56025,126.92781
37.56109,126.92786
37.57523,126.92742
37.56041,126.9278
37.5746,126.92766
37.56164,126.92777
37.56881,126.92776
37.57269,126.9277
37.56596,126.92784
37.56058,126.92791
37.5688,126.92793
37.57131,126.92363
37.56749,126.92355
37.57228,126.92388
37.57276,126.92387
37.57182,126.92394
37.58135,126.92399
37.56692,126.92389
37.56211,126.92792
37.57403,126.92787
37.57267,126.92788
37.56589,126.9281
37.56474,126.92807
37.57441,126.92789
37.56899,126.92801
37.58607,126.92798
37.55918,126.92789
37.57516,126.92797
37.56253,126.92798
37.58095,126.91826
37.57216,126.92399
37.57258,126.92379
37.56728,126.92386
37.57163,126.9239
37.57266,126.92399
37.5666,126.9239
37.57229,126.92417
37.56878,126.93069
37.56684,126.92409
37.56235,126.92788
37.56737,126.92787
37.56136,126.92815
37.56935,126.92808
37.56009,126.92801
37.56093,126.92815
37.56205,126.92808
37.56107,126.92816
37.57415,126.92817
37.56877,126.92842
37.5605,126.92827
37.56061,126.92828
37.56844,126.92847
37.56443,126.92837
37.55847,126.92829
37.56996,126.92809
37.55888,126.92824
37.56824,126.91862
37.56729,126.92417
37.5667,126.92423
37.56728,126.92435
37.57588,126.92916
37.55894,126.92909
37.56771,126.91889
37.56297,126.92826
37.56234,126.92887
37.56016,126.92899
37.55989,126.92891
37.56071,126.92886
37.5706,126.92922
37.56312,126.929
37.55856,126.92919
37.57607,126.92911
37.56061,126.92919
37.56699,126.92892
37.56574,126.92912
37.57331,126.92891
37.57303,126.92917
37.55956,126.92905
37.5607,126.92924
37.55939,126.929
37.56978,126.9292
37.56027,126.92909
37.56077,126.92928
37.55864,126.92831
37.57614,126.92918
37.55968,126.92939
37.56803,126.91886
37.5685,126.91914
37.57664,126.93139
37.56793,126.91916
37.56699,126.92449
37.56726,126.92453
37.56943,126.92436
37.5667,126.92463
37.56699,126.92472
37.56711,126.92464
37.5736,126.92487
37.57251,126.93102
37.56013,126.93106
37.57317,126.931
37.57685,126.93092
37.56547,126.93117
37.5845,126.92305
37.56238,126.93112
37.56097,126.93099
37.57652,126.93114
37.55953,126.93122
37.55987,126.93102
37.56491,126.93111
37.57586,126.93111
37.56358,126.93237
37.56198,126.93127
37.57306,126.93142
37.57368,126.93128
37.57536,126.93112
37.58171,126.93102
37.55763,126.93117
37.56512,126.9313
37.57607,126.93133
37.56106,126.93124
37.57762,126.91079
37.56935,126.91933
37.56868,126.91927
37.58201,126.91949
37.56778,126.9196
37.56916,126.91966
37.56772,126.91977
37.56959,126.9249
37.56074,126.93018
37.56956,126.91969
37.56746,126.91973
37.566,126.92495
37.56726,126.92471
37.56699,126.92492
37.56914,126.92481
37.56812,126.93019
37.56944,126.92485
37.57298,126.92974
37.55922,126.92997
37.56317,126.93005
37.56,126.92994
37.56031,126.92996
37.57602,126.93003
37.55822,126.93015
37.55906,126.92989
37.56045,126.93008
37.55857,126.93006
37.56,126.9302
37.57331,126.93103
37.56321,126.93015
37.57653,126.93011
37.56058,126.9302
37.56975,126.93013
37.56259,126.93023
37.574,126.93048
37.57169,126.93006
37.55877,126.93
37.56013,126.93027
37.56246,126.93022
37.56969,126.91989
37.57614,126.91995
37.57994,126.91996
37.56764,126.92008
37.56738,126.92001
37.56981,126.92008
37.56985,126.92506
37.58684,126.92499
37.57383,126.92512
37.56618,126.93128
37.5699,126.92049
37.5695,126.92056
37.56979,126.92534
37.5659,126.92525
37.57348,126.92529
37.56068,126.92722
37.5621,126.93036
37.56028,126.93013
37.57342,126.93017
37.57612,126.93025
37.55883,126.93038
37.56076,126.93042
37.56869,126.93061
37.57236,126.93017
37.57226,126.93039
37.55805,126.9306
37.56231,126.9302
37.5587,126.93047
37.55956,126.93045
37.55785,126.93034
37.55846,126.93038
37.57627,126.93055
37.57628,126.91205
37.5671,126.9204
37.56759,126.92029
37.56987,126.9204
37.5675,126.92062
37.56923,126.92061
37.5672,126.92071
37.574,126.92535
37.58523,126.94454
37.57249,126.93123
37.57353,126.92529
37.56973,126.9256
37.569,126.92541
37.57391,126.92555
37.5695,126.92573
37.56045,126.93126
37.55756,126.93102
37.56444,126.93138
37.56099,126.93133
37.55998,126.93131
37.57109,126.93112
37.57086,126.93192
37.56108,126.9314
37.56664,126.9314
37.55736,126.93161
37.55944,126.93138
37.56029,126.93157
37.56562,126.93153
37.56602,126.93138
37.57645,126.9132
37.5704,126.92096
37.56287,126.92835
37.55881,126.92847
37.57046,126.92079
37.56996,126.92071
37.56921,126.92075
37.56746,126.92081
37.56964,126.9206
37.56779,126.92105
37.56971,126.92105
37.57061,126.92107
37.56714,126.92101
37.569,126.92584
37.56924,126.92591
37.57393,126.92598
37.58409,126.93933
37.5671,126.92604
37.56131,126.92844
37.5625,126.92831
37.5719,126.92819
37.5691,126.92842
37.57366,126.92832
37.55928,126.92842
37.56747,126.92836
37.58471,126.91371
37.58666,126.91364
37.57078,126.92635
37.57572,126.93076
37.56038,126.9292
37.5583,126.92944
37.5848,126.91399
37.57025,126.92106
37.56775,126.9215
37.57082,126.92134
37.56708,126.92133
37.57042,126.92127
37.56733,126.92138
37.57113,126.92163
37.57081,126.92148
37.5767,126.92607
37.5694,126.92597
37.57881,126.92606
37.57011,126.92609
37.58597,126.92604
37.57152,126.92612
37.55922,126.92759
37.55891,126.93054
37.57291,126.93048
37.57104,126.93053
37.5605,126.93061
37.56009,126.93045
37.57528,126.93069
37.56077,126.93055
37.56039,126.93067
37.56581,126.93088
37.56835,126.93056
37.57564,126.93079
37.56292,126.93065
37.57331,126.93061
37.56066,126.93075
37.55973,126.93079
37.57021,126.92163
37.57063,126.92156
37.56982,126.92149
37.58326,126.92158
37.57266,126.92432
37.57005,126.9217
37.56679,126.92648
37.56526,126.92642
37.56519,126.92653
37.57197,126.92655
37.5747,126.92631
37.57042,126.92661
37.56547,126.92655
37.57561,126.92931
37.56276,126.92949
37.55817,126.92937
37.55912,126.95955
37.55862,126.92946
37.56049,126.9295
37.56297,126.92937
37.55999,126.9294
37.56561,126.92944
37.57104,126.92639
37.5601,126.9295
37.55912,126.92963
37.56063,126.92949
37.57301,126.9281
37.5758,126.92964
37.56699,126.92171
37.57089,126.9219
37.5714,126.92209
37.57058,126.92209
37.56098,126.92868
37.56536,126.94541
37.56765,126.92232
37.57258,126.92687
37.56084,126.93094
37.56788,126.94558
37.57024,126.92252
37.56102,126.9272
37.5707,126.92207
37.57025,126.92213
37.56713,126.92222
37.57151,126.92213
37.57102,126.91495
37.56949,126.92654
37.57443,126.92677
37.56929,126.92666
37.57145,126.92656
37.56152,126.9285
37.55989,126.92846
37.55982,126.92872
37.57311,126.9286
37.56014,126.92874
37.55909,126.92858
37.56168,126.92872
37.55917,126.92858
37.58428,126.91485
37.57138,126.92223
37.57138,126.92233
37.5671,126.9224
37.56685,126.92244
37.5714,126.9225
37.56729,126.92244
37.57098,126.92259
37.56869,126.92686
37.56596,126.92613
37.57477,126.92677
37.57449,126.92654
37.58672,126.92693
37.57189,126.92696
37.58199,126.92392
37.56054,126.93079
37.55784,126.93061
37.57215,126.93082
