x,y
35.5864863,129.3652804
35.5856868,129.3709911
35.5830468,129.3660135
35.5815081,129.3688902
35.6317706,129.3562074
35.6299446,129.3578511
35.6289265,129.3556228
35.6277805,129.3442067
35.5910418,129.3700856
35.5962319,129.3664532
35.5955243,129.3681966
35.5498973,129.3855647
35.5289462,129.3985892
35.6419793,129.3492928
35.5846358,129.3679727
35.6106459,129.3739709
35.6082452,129.3742601
35.6083781,129.3762718
35.6434438,129.3538162
35.6362987,129.3329701
35.5436555,129.3887494
35.5366463,129.3900667
35.6098671,129.3784844
35.6104219,129.3803796
35.6096239,129.3823419
35.6076401,129.3845923
35.6111893,129.3803112
35.6108238,129.3776508
35.6106246,129.3764444
35.6528974,129.3500633
35.6523033,129.3499189
35.6517363,129.3496999
35.6312739,129.3691573
35.6672495,129.3753394
35.5919024,129.3745522
35.62715338,129.3515253
35.62885389,129.3433285
35.63046716,129.3400241
35.63226832,129.3504793
35.55518907,129.3570024
35.53537112,129.3892828
35.53254671,129.3908761
35.56193592,129.3574208
35.62955453,129.3511578
35.64315284,129.3537757
35.52812949,129.3969978
35.64435168,129.3515226
35.55695221,129.3568844
35.55365105,129.3555084
35.63084693,129.3512195
35.53707537,129.3882126
35.58828945,129.3659824
35.64220247,129.3554441
35.55703076,129.3594486
35.55934373,129.3570989
35.63397744,129.3489879
35.62936268,129.3459222
35.59449956,129.3658295
35.62648489,129.3533197
35.58858511,129.3661251
35.54373411,129.3849011
35.58869111,129.3683921
35.58899911,129.3676241
35.63217511,129.3503711
35.62989711,129.3373171
35.63033111,129.3453871
35.63391611,129.3324411
35.64012911,129.3594871
35.56819211,129.3674051
35.56299111,129.3556311
35.62234715,129.3546602
35.64805394,129.3476034
35.66176642,129.3424296
35.63003859,129.3581363
35.56272576,129.3709514
35.61582579,129.4490136
35.53624904,129.3925176
35.58945961,129.3699394
35.58786541,129.3685441
35.59065964,129.3608578
35.53493559,129.3911289
35.52427523,129.4010508
35.52382921,129.3999242
35.5211899,129.3980806
35.5221456,129.3990434
35.5802669,129.4522331
35.6299199,129.3518794
35.6249238,129.3572375
35.6619693,129.3365395
35.5546148,129.3550036
35.6322278,129.3505579
35.6288771,129.3433331
35.5881582,129.3663021
35.6304579,129.3373387
35.6388657,129.3301634
35.6311925,129.3407428
35.6621191,129.3392113
35.589511,129.3622987
35.5861721,129.3600971
35.6611151,129.3350917
35.6408842,129.3392661
35.53172194,129.3923461
35.6470248,129.3434543
35.5516722,129.3584085
35.64737079,129.4451708
35.57853601,129.3953568
35.5910155,129.3630292
35.5568772,129.3570107
35.6393095,129.3385048
35.6049532,129.4333743
35.6281492,129.3313191
35.59867104,129.3472504
35.6290734,129.3532334
35.5815015,129.3662176
