Y,X
35.63693,129.30681
35.63602,129.30668
35.63512,129.30782
35.63333,129.30838
35.63267,129.30936
35.6317,129.31083
35.6315,129.31176
35.63206,129.31226
35.63332,129.31227
35.63619,129.31264
35.63439,129.314
35.63372,129.31412
35.63091,129.31254
35.63037,129.31315
35.62094,129.33149
35.63101,129.31543
35.6207,129.3337
35.61959,129.33393
35.62085,129.33475
35.62094,129.33599
35.62026,129.33658
35.61987,129.3355
35.63619,129.33276
35.59641,129.34012
35.61875,129.3355
35.59679,129.33973
35.64826,129.32258
35.62268,129.33961
35.64075,129.31694
35.64091,129.32952
35.59486,129.33415
35.58791,129.36049
35.5871,129.35944
35.58697,129.35957
35.58627,129.35967
35.58674,129.36023
35.58695,129.36017
35.58678,129.3607
35.58691,129.36119
35.58799,129.3613
35.58739,129.36117
35.5875,129.36069
35.58751,129.36139
35.58855,129.37086
35.58854,129.37152
35.58868,129.37166
35.58888,129.37142
35.58887,129.37021
35.58918,129.37021
35.58902,129.37169
35.58922,129.37142
35.58958,129.37174
35.58958,129.3711
35.58959,129.37045
35.58979,129.37021
35.66866,129.34029
35.66813,129.34091
35.6666,129.34066
35.66788,129.3417
35.59354,129.36133
35.66703,129.34131
35.59312,129.36158
35.58721,129.36136
35.58969,129.36348
35.58872,129.36362
35.58969,129.36305
35.58975,129.36421
35.59014,129.36287
35.58982,129.36317
35.58982,129.36389
35.59014,129.36389
35.59014,129.36317
35.5908,129.36377
35.59066,129.36365
35.59115,129.36322
35.66689,129.34179
35.6628,129.34113
35.59084,129.3626
35.66159,129.34278
35.66131,129.34106
35.59162,129.36223
35.5915,129.36241
35.66758,129.34138
35.59233,129.36176
35.5925,129.36193
35.5928,129.36274
35.59086,129.36409
35.59151,129.36325
35.59017,129.36496
35.58981,129.36457
35.58954,129.36521
35.58968,129.36457
35.58943,129.36538
35.58987,129.36538
35.58879,129.36237
35.58898,129.3616
35.58911,129.36199
35.5893,129.3622
35.58912,129.3616
35.58966,129.36137
35.58967,129.36191
35.58988,129.36168
35.66787,129.34263
35.66852,129.34348
35.66623,129.33989
35.666,129.34098
35.59048,129.36483
35.66645,129.34192
35.66591,129.34025
35.6651,129.34
35.66406,129.3402
35.66335,129.3419
35.66345,129.34171
35.66427,129.3442
35.66407,129.3434
35.66359,129.343
35.66316,129.34192
35.66284,129.34187
35.6627,129.34166
35.66216,129.34185
35.6621,129.34161
35.66232,129.34265
35.66192,129.34471
35.66228,129.3439
35.66206,129.34237
35.66146,129.34322
35.66044,129.34312
35.66093,129.34275
35.66016,129.3424
35.66053,129.34264
35.65943,129.34212
35.65958,129.34243
35.65922,129.34192
35.66156,129.34153
35.65725,129.3415
35.66263,129.33859
35.66284,129.33696
35.63509,129.33297
35.66036,129.34029
35.66232,129.3369
35.65855,129.3415
35.66174,129.34047
35.66209,129.34025
35.65761,129.34166
35.65699,129.34334
35.65866,129.34267
35.65763,129.34227
35.65944,129.34307
35.67095,129.34392
35.66396,129.33874
35.66296,129.33902
35.66363,129.33747
35.66341,129.33811
35.66303,129.33741
35.66122,129.33667
35.66219,129.33647
35.66207,129.33742
35.66154,129.33853
35.65833,129.33688
35.65741,129.3376
35.65626,129.34019
35.6553,129.33772
35.58993,129.37126
35.65045,129.34152
35.65091,129.34122
35.58992,129.37179
35.59007,129.3718
35.59029,129.37072
35.59051,129.37082
35.59056,129.37178
35.59007,129.37351
35.59151,129.37376
35.59129,129.37135
35.59094,129.3708
35.59356,129.3603
35.5906,129.37035
35.59058,129.37012
35.58766,129.36092
35.58939,129.36851
35.58957,129.37004
35.58938,129.36926
35.5899,129.37004
35.58886,129.36981
35.58865,129.36974
35.58844,129.36952
35.64862,129.34233
35.64808,129.34018
35.64848,129.34155
35.64662,129.3388
35.64701,129.34361
35.58853,129.36923
35.58858,129.36878
35.58916,129.36942
35.58879,129.3685
35.58903,129.3685
35.59007,129.36916
35.58869,129.37072
35.59034,129.36452
35.59118,129.36577
35.59257,129.36316
35.59268,129.36326
35.60149,129.35576
35.59271,129.36183
35.59298,129.36248
35.59296,129.36151
35.59328,129.36132
35.5936,129.36113
35.59372,129.36052
35.59068,129.36125
35.64886,129.34161
35.64802,129.34246
35.64701,129.3398
35.64799,129.33888
35.6472,129.3398
35.64669,129.34285
35.64699,129.34177
35.64707,129.34265
35.64809,129.34322
35.64835,129.34458
35.64823,129.34425
35.64779,129.34421
35.64804,129.34583
35.64815,129.34475
35.64849,129.34553
35.64824,129.3462
35.64836,129.34641
35.64788,129.34662
35.64798,129.34613
35.64801,129.34725
35.64805,129.34677
35.6488,129.34552
35.64885,129.34569
35.64972,129.34652
35.64971,129.34706
35.64925,129.34568
35.58988,129.36181
35.62018,129.4491
35.59089,129.36151
35.61902,129.45019
35.5898,129.36096
35.59288,129.3607
35.61841,129.4505
35.5904,129.36023
35.61834,129.44998
35.59,129.3605
35.59083,129.35993
35.59135,129.36116
35.59015,129.3613
35.59072,129.36094
35.59077,129.36156
35.58966,129.36095
35.64805,129.34796
35.59221,129.36047
35.59218,129.36064
35.59196,129.36072
35.5934,129.36045
35.61659,129.36207
35.61705,129.36266
35.61608,129.36021
35.61616,129.35905
35.61755,129.36346
35.61802,129.36376
35.61958,129.36535
35.61893,129.36079
35.61853,129.35938
35.61829,129.35858
35.62286,129.35555
35.62304,129.35581
35.61778,129.36133
35.62336,129.3568
35.62366,129.35715
35.62344,129.35759
35.6229,129.35707
35.62281,129.35668
35.61756,129.36831
35.62308,129.35751
35.60803,129.35611
35.62308,129.35837
35.62359,129.35822
35.62411,129.3587
35.61966,129.44367
35.59657,129.46325
35.61851,129.44513
35.61943,129.44522
35.61866,129.45042
35.61738,129.44938
35.61445,129.4496
35.61481,129.44947
35.62022,129.44895
35.6151,129.44919
35.61727,129.44907
35.60148,129.35623
35.61602,129.44894
35.60097,129.35639
35.60091,129.35614
35.60196,129.35542
35.60209,129.35538
35.60221,129.35568
35.60259,129.35618
35.60311,129.35685
35.60316,129.35718
35.6158,129.44917
35.60256,129.3574
35.59978,129.3589
35.60143,129.35762
35.60039,129.35795
35.5874,129.36051
35.58701,129.36054
35.58744,129.3631
35.60189,129.3597
35.60219,129.35601
35.59489,129.37456
35.59137,129.36072
35.64935,129.34736
35.64929,129.34702
35.64909,129.34648
35.6108,129.31369
35.64935,129.34791
35.64991,129.34812
35.61426,129.3129
35.65013,129.34895
35.60376,129.30564
35.63197,129.35362
35.60851,129.30992
35.60576,129.30775
35.60798,129.31027
35.55798,129.3514
35.65139,129.35982
35.64565,129.34373
35.66262,129.33317
35.64586,129.34422
35.62767,129.33057
35.64586,129.34382
35.64461,129.35634
35.65498,129.36378
35.61412,129.36656
35.62957,129.3446
35.60959,129.31008
35.64487,129.35582
35.60889,129.31338
35.60645,129.31048
35.60972,129.3131
35.60926,129.31292
35.61059,129.31283
35.61017,129.3118
35.6102,129.31251
35.61043,129.31161
35.61379,129.31159
35.61606,129.3117
35.6193,129.31356
35.61907,129.31291
35.61776,129.31286
35.61786,129.4494
35.63449,129.36517
35.62924,129.35769
35.62906,129.3542
35.62853,129.3554
35.65093,129.36709
35.62809,129.35606
35.62777,129.35486
35.58794,129.36096
35.59131,129.36102
35.54665,129.38501
35.59131,129.36371
35.65058,129.34949
35.66273,129.34071
35.64794,129.34345
35.64797,129.34965
35.64829,129.35
35.64778,129.34986
35.64745,129.35066
35.64738,129.34865
35.64731,129.34922
35.64849,129.35029
35.6469,129.35017
35.64647,129.35074
35.6267,129.31264
35.64548,129.34498
35.64865,129.34914
35.62649,129.31023
35.62644,129.3109
35.6266,129.31147
35.66277,129.33038
35.66276,129.33206
35.66322,129.33284
35.66292,129.32982
35.62428,129.35979
35.64548,129.35505
35.55675,129.3582
35.66184,129.34561
35.62977,129.3534
35.62991,129.33285
35.62926,129.3562
35.6331,129.33559
35.6494,129.42203
35.63775,129.35584
35.63696,129.34909
35.55935,129.3775
35.6459,129.35002
35.65738,129.34223
35.64287,129.327
35.64718,129.34701
35.62943,129.31045
35.64693,129.3133
35.64754,129.34498
35.64529,129.35808
35.64563,129.35829
35.64652,129.35783
35.63649,129.35098
35.64476,129.35023
35.6444,129.35699
35.6444,129.34532
35.64523,129.35463
35.64431,129.3556
35.62581,129.36082
35.64392,129.35577
35.62596,129.36001
35.62662,129.36028
35.62645,129.36097
35.62687,129.35993
35.62662,129.35976
35.62645,129.35899
35.62596,129.35923
35.62584,129.358
35.62411,129.35744
35.62573,129.358
35.62458,129.3576
35.62539,129.35831
35.6244,129.35684
35.62509,129.35712
35.62461,129.35569
35.6244,129.3551
35.62494,129.35671
35.62434,129.35447
35.62426,129.35539
35.62403,129.35516
35.56606,129.35712
35.55675,129.35337
35.56173,129.35925
35.62333,129.35488
35.62356,129.35496
35.61871,129.42941
35.58207,129.43046
35.58058,129.42911
35.59526,129.4629
35.61097,129.43316
35.55538,129.35144
35.54221,129.39391
35.54462,129.39612
35.58624,129.35952
35.54183,129.38643
35.58676,129.35943
35.58638,129.3595
35.55707,129.37949
35.64405,129.35657
35.62605,129.36308
35.64363,129.35574
35.64355,129.35567
35.64376,129.35494
35.64293,129.35515
35.64359,129.35468
35.62761,129.35653
35.64256,129.35517
35.62744,129.35948
35.64372,129.35604
35.64358,129.35451
35.64078,129.35224
35.64305,129.35558
35.62579,129.36011
35.63946,129.35127
35.63635,129.34693
35.63897,129.35039
35.65368,129.33056
35.64944,129.31894
35.65396,129.31328
35.64531,129.32481
35.6394,129.35087
35.64053,129.35258
35.57921,129.43281
35.63805,129.33309
35.63878,129.34892
35.6375,129.34924
35.63739,129.34904
35.62374,129.35541
35.62395,129.35585
35.65637,129.33271
35.65315,129.33024
35.65434,129.33026
35.63861,129.34998
35.65317,129.33387
35.65312,129.33487
35.65439,129.33128
35.65349,129.33531
35.65382,129.31417
35.65162,129.31579
35.65349,129.31415
35.65216,129.31481
35.64482,129.32607
35.65001,129.31952
35.65198,129.31496
35.64855,129.32188
35.64936,129.32491
35.64918,129.32437
35.63184,129.31233
35.62619,129.31067
35.58068,129.45311
35.62462,129.44274
35.58367,129.37015
35.58264,129.36967
35.58064,129.36972
35.58112,129.36768
35.56977,129.35406
35.57068,129.372
35.5879,129.37009
35.63165,129.31304
35.57111,129.37231
35.5595,129.35475
35.56103,129.35454
35.5663,129.36775
35.55417,129.35151
35.58659,129.36453
35.64814,129.32486
35.63227,129.34733
35.63834,129.34786
35.62477,129.3544
35.64001,129.34573
35.58319,129.3685
35.5978,129.31942
35.61413,129.44367
35.63845,129.35238
35.58809,129.3642
35.59666,129.34286
35.63805,129.34964
35.63893,129.34795
35.63842,129.34858
35.63827,129.34742
35.63833,129.34761
35.6381,129.34653
35.63914,129.34746
35.65004,129.34784
35.63517,129.34734
35.63836,129.35004
35.63813,129.34773
35.63688,129.34739
35.64494,129.35775
35.6546,129.33894
35.66253,129.34255
35.64831,129.32484
35.66193,129.34426
35.66213,129.34355
35.59742,129.3449
35.64671,129.32486
35.64654,129.3256
35.64598,129.32353
35.64584,129.32599
35.64478,129.32682
35.64532,129.32682
35.64464,129.32762
35.64566,129.32963
35.64614,129.33083
35.64526,129.32942
35.62393,129.35404
35.62372,129.35555
35.62368,129.35545
35.62345,129.35517
35.62308,129.35556
35.62324,129.35565
35.62336,129.35583
35.6235,129.35606
35.62363,129.35612
35.62472,129.35404
35.5963,129.34668
35.56744,129.35384
35.56181,129.37168
35.56159,129.37172
35.56097,129.37199
35.57744,129.36687
35.57727,129.36694
35.56248,129.37334
35.56278,129.37307
35.56283,129.37381
35.56656,129.35861
35.58056,129.36895
35.5633,129.3738
35.58133,129.36525
35.58289,129.36782
35.56837,129.35465
35.56905,129.35422
35.56458,129.37534
35.58222,129.36685
35.5644,129.3754
35.61891,129.4495
35.63694,129.35282
35.63427,129.35074
35.63882,129.3529
35.64035,129.3536
35.66902,129.34038
35.63756,129.35187
35.63642,129.34918
35.63601,129.3501
35.63512,129.3496
35.63478,129.3466
35.63474,129.34635
35.63413,129.34653
35.63368,129.34618
35.63402,129.34674
35.6347,129.34741
35.63499,129.34775
35.63464,129.34712
35.62496,129.35572
35.6402,129.34306
35.62517,129.35611
35.62575,129.35716
35.62631,129.35793
35.6264,129.35824
35.62731,129.35964
35.62782,129.35971
35.62779,129.3588
35.62835,129.35945
35.6277,129.35951
35.62795,129.35865
35.62812,129.3585
35.62782,129.3579
35.62748,129.35777
35.62646,129.35679
35.62694,129.3574
35.62696,129.35762
35.62716,129.35674
35.62676,129.35622
35.62689,129.35616
35.62661,129.35641
35.62569,129.35591
35.61537,129.4436
35.61521,129.44302
35.61429,129.44342
35.61435,129.42918
35.61653,129.42517
35.66611,129.38992
35.612,129.43327
35.61635,129.42509
35.61608,129.42563
35.61554,129.42551
35.61479,129.42592
35.61376,129.42646
35.6609,129.34159
35.6425,129.33157
35.62381,129.35908
35.62841,129.35457
35.67433,129.3466
35.59637,129.34437
35.5966,129.34362
35.59672,129.34139
35.59735,129.34055
35.63829,129.33884
35.59698,129.34455
35.59717,129.34356
35.59735,129.32088
35.62998,129.35348
35.59675,129.33239
35.63112,129.35242
35.62923,129.33231
35.63765,129.35433
35.57323,129.35323
35.63974,129.35898
35.61788,129.33478
35.63919,129.36085
35.63183,129.34306
35.59384,129.33491
35.63474,129.35157
35.59629,129.34613
35.63589,129.35212
35.59625,129.33873
35.6056,129.34578
35.59698,129.33868
35.59734,129.33852
35.59676,129.33875
35.59758,129.3386
35.59774,129.339
35.59575,129.33782
35.59753,129.34314
35.59652,129.34444
35.59688,129.34614
35.59721,129.34612
35.59654,129.34554
35.59663,129.34522
35.59657,129.34594
35.62654,129.3559
35.62667,129.3554
35.64435,129.32921
35.64407,129.32924
35.64362,129.32835
35.64163,129.32869
35.64185,129.32897
35.64254,129.33246
35.64177,129.33299
35.63935,129.32962
35.63875,129.3302
35.63964,129.32478
35.64278,129.33308
35.63504,129.33306
35.63937,129.33084
35.63782,129.33215
35.62584,129.35598
35.61857,129.44935
35.64053,129.31669
35.61838,129.44878
35.61749,129.44853
35.6185,129.44895
35.61704,129.44846
35.61718,129.44838
35.61604,129.44799
35.61654,129.44781
35.6158,129.44818
35.61565,129.4483
35.61565,129.44816
35.61503,129.44831
35.6152,129.448
35.61483,129.44878
35.61722,129.44759
35.61694,129.44796
35.61474,129.44706
35.61469,129.44776
35.61462,129.44643
35.61439,129.44623
35.59727,129.34697
35.61361,129.44545
35.59865,129.34187
35.59886,129.34236
35.59572,129.3364
35.59573,129.3357
35.59561,129.33239
35.59587,129.33313
35.59931,129.33017
35.59624,129.33242
35.59921,129.33074
35.59902,129.32958
35.59895,129.32969
35.59575,129.32075
35.5946,129.31872
35.64031,129.3172
35.63594,129.3326
35.63559,129.33314
35.63456,129.33294
35.59917,129.30717
35.63764,129.33227
35.63087,129.31638
35.6271,129.33608
35.5946,129.37391
35.62764,129.33424
35.62175,129.44609
35.62139,129.44623
35.62105,129.44686
35.62042,129.44759
35.62084,129.4467
35.62026,129.44793
35.62015,129.44844
35.63069,129.35181
35.6283,129.35794
35.62517,129.35237
35.66199,129.34527
35.66148,129.33958
35.64639,129.32308
35.63581,129.35023
35.6105,129.34173
35.64648,129.42113
35.58031,129.44973
35.59731,129.31817
35.60868,129.31808
35.60609,129.31715
35.60659,129.31734
35.60438,129.31389
35.60499,129.30692
35.60528,129.30827
35.60411,129.31618
35.60519,129.30616
35.60129,129.30832
35.61185,129.35851
35.6105,129.3593
35.61141,129.3591
35.61025,129.36061
35.61134,129.36042
35.60871,129.36301
35.61412,129.36251
35.61624,129.36199
35.61437,129.3617
35.61632,129.36358
35.61658,129.36787
35.62644,129.35484
35.6264,129.35404
35.62562,129.35473
35.62579,129.35374
35.62551,129.35424
35.6252,129.35453
35.62515,129.35436
35.62597,129.35473
35.62606,129.35579
35.62752,129.36024
35.62772,129.36113
35.61621,129.33015
35.61713,129.3311
35.61623,129.32974
35.63858,129.3587
35.61598,129.33066
35.64074,129.35767
35.6407,129.35796
35.63974,129.35754
35.63933,129.35731
35.63864,129.35715
35.63859,129.35689
35.60692,129.35666
