X,Y
35.51386,129.42028
35.51378,129.42197
35.51375,129.42151
35.51469,129.42222
35.51437,129.42247
35.51427,129.42198
35.51418,129.42152
35.51436,129.42087
35.51322,129.42369
35.51291,129.42524
35.51283,129.42601
35.51282,129.42619
35.51308,129.42525
35.51272,129.427
35.51279,129.42645
35.51275,129.42734
35.51264,129.42801
35.51266,129.42766
35.51258,129.42884
35.48201,129.41712
35.48912,129.41802
35.48964,129.42301
35.48451,129.41988
35.48351,129.41697
35.50401,129.42441
35.50315,129.42093
35.48402,129.41668
35.50153,129.41713
35.48981,129.42108
35.49942,129.42809
35.50365,129.41788
35.5232,129.43064
35.54301,129.42843
35.54203,129.42823
35.48369,129.41004
35.54113,129.42198
35.48328,129.40926
35.486,129.40931
35.48601,129.41038
35.48376,129.41145
35.48197,129.41031
35.48478,129.42465
35.48285,129.42277
35.4852,129.42513
35.48479,129.40948
35.48424,129.41178
35.48574,129.41097
35.48527,129.41226
35.48907,129.42026
35.48235,129.4104
35.48025,129.41023
35.48105,129.40888
35.47999,129.40953
35.47931,129.40901
35.48438,129.4238
35.50496,129.4258
35.48324,129.42234
35.48385,129.42201
35.483,129.42257
35.48344,129.42204
35.48349,129.42176
35.48269,129.42246
35.4829,129.42216
35.48233,129.42018
35.48252,129.42151
35.48264,129.41876
35.48311,129.41893
35.4841,129.42055
35.49091,129.42793
35.48723,129.42562
35.48562,129.42377
35.50711,129.41972
35.48405,129.42376
35.48767,129.42831
35.48968,129.42877
35.48381,129.43406
35.48996,129.41914
35.51254,129.42921
35.51251,129.4295
35.51242,129.43025
35.51363,129.42867
35.50728,129.42414
35.50793,129.42409
35.50768,129.42379
35.5071,129.42335
35.50794,129.42383
35.50773,129.42296
35.51796,129.43153
35.50759,129.42253
35.50803,129.42299
35.50697,129.42223
35.50807,129.42271
35.50695,129.42285
35.50681,129.4228
35.50712,129.42112
35.50991,129.42056
35.51016,129.42015
35.51075,129.4204
35.5068,129.42107
35.51117,129.41923
35.50703,129.42059
35.51046,129.41991
35.54126,129.42295
35.50811,129.40406
35.51104,129.41912
35.51119,129.41974
35.54189,129.42151
35.51231,129.40414
35.50313,129.41847
35.48682,129.42288
35.48097,129.4131
35.50182,129.40416
35.48679,129.42538
35.48283,129.41483
35.48802,129.41894
35.47811,129.41079
35.47696,129.41283
35.54104,129.42228
35.53998,129.42122
35.5397,129.42103
35.54049,129.42491
35.54032,129.42359
35.54137,129.41963
35.54142,129.42074
35.5409,129.4238
35.54326,129.42862
35.47671,129.41083
35.54358,129.42881
35.54024,129.43001
35.48813,129.42644
35.48729,129.42778
35.48694,129.42875
35.4769,129.41116
35.4816,129.4332
35.48451,129.43054
35.5101,129.42046
35.50988,129.42094
35.48364,129.43366
35.50896,129.42609
35.54263,129.4237
35.5427,129.42352
35.54291,129.42296
35.50773,129.42254
35.54293,129.42323
35.54214,129.42159
35.48572,129.42649
35.4867,129.42119
35.50526,129.42057
35.55923,129.45618
35.5415,129.4224
35.48758,129.42648
35.48409,129.42269
35.48503,129.43004
35.48367,129.42342
35.48576,129.4173
35.48589,129.42823
35.4824,129.43135
35.50484,129.42727
35.49796,129.41953
35.4917,129.42144
35.50262,129.42096
35.51379,129.4211
35.49984,129.4201
35.55637,129.42837
35.56667,129.44294
35.55831,129.4524
35.55935,129.44452
35.50798,129.42359
35.48484,129.43112
35.48265,129.41889
35.48831,129.42557
35.48302,129.42372
35.52421,129.43248
35.48568,129.42819
35.48318,129.42386
35.48825,129.42526
35.48347,129.41066
35.48085,129.41292
35.48603,129.42368
35.47765,129.41347
35.48023,129.41195
35.47741,129.41261
35.47708,129.41301
35.47751,129.41293
35.47672,129.41226
35.47814,129.41315
35.47729,129.41237
35.47776,129.41107
35.47783,129.41068
35.54079,129.42259
35.54065,129.42107
35.54287,129.42815
35.54329,129.42818
35.54302,129.42913
35.50219,129.42836
35.50201,129.42772
35.49747,129.42634
35.49658,129.4243
35.50924,129.427
35.52539,129.43265
35.48166,129.41057
35.50103,129.42706
35.49595,129.42181
35.50729,129.42905
35.47752,129.41217
35.48557,129.42089
35.51681,129.42864
35.51693,129.42797
35.48738,129.42726
35.486,129.42095
35.4864,129.42951
35.48751,129.43189
35.48758,129.43371
35.48691,129.43383
35.49093,129.42586
35.48502,129.42991
35.48493,129.43018
35.4792,129.40986
35.48726,129.43067
35.48285,129.42102
35.4894,129.41959
35.48772,129.41938
35.55453,129.42219
35.54966,129.45466
35.54836,129.45472
35.55628,129.45346
35.50929,129.42932
35.50091,129.43457
35.48798,129.42927
35.48406,129.41019
35.48657,129.43262
35.48615,129.42475
35.48862,129.41632
35.48849,129.41597
35.48912,129.41759
35.48885,129.41762
35.49059,129.41799
35.491,129.41844
35.49019,129.41788
35.48956,129.41823
35.48903,129.41846
35.48863,129.41858
